epoch:00001 loss:0.06615827777312001
epoch:00002 loss:0.05722393760275503
epoch:00003 loss:0.05499880789528886
epoch:00004 loss:0.05390495809381284
epoch:00005 loss:0.05350616418901179
epoch:00006 loss:0.05323178267019174
epoch:00007 loss:0.052258251671087774
epoch:00008 loss:0.05254975096311117
epoch:00009 loss:0.052111636047942556
epoch:00010 loss:0.05190924288369807
epoch:00011 loss:0.052077250862792565
epoch:00012 loss:0.051308944618180946
epoch:00013 loss:0.05157311425537434
epoch:00014 loss:0.05083651936803573
epoch:00015 loss:0.05130672437768665
epoch:00016 loss:0.051107263546085004
epoch:00017 loss:0.05060668773650694
epoch:00018 loss:0.05090003089149748
epoch:00019 loss:0.05074077879324335
epoch:00020 loss:0.05034758241146178
epoch:00021 loss:0.05067998127041472
epoch:00022 loss:0.05015357206372778
epoch:00023 loss:0.05020345375554035
epoch:00024 loss:0.05035319787678948
epoch:00025 loss:0.04962848634868493
epoch:00026 loss:0.050073683910047365
epoch:00027 loss:0.05025447332878018
epoch:00028 loss:0.05024714152739615
epoch:00029 loss:0.049856061599888486
epoch:00030 loss:0.05057631876134454
epoch:00031 loss:0.04981845287084212
epoch:00032 loss:0.04990381382186893
epoch:00033 loss:0.04982903808119631
epoch:00034 loss:0.05030074142319079
epoch:00035 loss:0.0500007245303939
epoch:00036 loss:0.049531083023320994
epoch:00037 loss:0.05012051328930976
epoch:00038 loss:0.04982973069898423
epoch:00039 loss:0.049874296872559
epoch:00040 loss:0.05036114676929735
epoch:00041 loss:0.04974709692140988
epoch:00042 loss:0.04957599268656839
epoch:00043 loss:0.049520217655907674
epoch:00044 loss:0.04929418818284386
epoch:00045 loss:0.04957512551734963
epoch:00046 loss:0.04964381803076595
epoch:00047 loss:0.048914958473031726
epoch:00048 loss:0.04978318338381125
epoch:00049 loss:0.049666501830761295
epoch:00050 loss:0.04928125496517527
epoch:00051 loss:0.04910785134349113
epoch:00052 loss:0.04941217955385527
epoch:00053 loss:0.048768986562908234
epoch:00054 loss:0.04946930061252107
epoch:00055 loss:0.04967542061958716
epoch:00056 loss:0.04962066952223318
epoch:00057 loss:0.0493313422592643
epoch:00058 loss:0.04912291736810353
epoch:00059 loss:0.04942276984822057
epoch:00060 loss:0.049167436807766106
epoch:00061 loss:0.04884969951828288
epoch:00062 loss:0.04935801627141965
epoch:00063 loss:0.0489784864274113
epoch:00064 loss:0.04944926729975245
epoch:00065 loss:0.04868385534321824
epoch:00066 loss:0.04869999895300854
epoch:00067 loss:0.04914246818116554
epoch:00068 loss:0.049329458445466705
epoch:00069 loss:0.049433153530164954
epoch:00070 loss:0.04890726769577188
epoch:00071 loss:0.04897603317548046
epoch:00072 loss:0.04906927718533755
epoch:00073 loss:0.049123225904291
epoch:00074 loss:0.048908678382778986
